Name,,,Address,Latitude,Longitude,NOTES
Midnight Mission,,,"601 San Pedro St, Los Angeles, CA 90014",,,
Union Rescue Mission,,,"545 San Pedro St, Los Angeles, CA 90013",,,
Los Angeles Mission,,,"303 E 5th St, Los Angeles, CA 90013",,,
Fred Jordan Mission,,,"445 Towne Ave, Los Angeles, CA 90013",,,
Weingart Center,,,"566 San Pedro St, Los Angeles, CA 90013",,,
Studio 526 ,,,"526 San Pedro St, Los Angeles, CA 90013",,,
Lamp Village,,,"527 Crocker St, Los Angeles, CA 90013",,,"Unsure, originally written as Village (LAMP)"
Blue Hollywood Street Sanctuary ,,,"601 Crocker St, Los Angeles, CA 90013",,,
Hippie Kitchen,,,"821 E 6th St, Los Angeles, CA 90021",,,
LACAN,,,"838 E 6th St, Los Angeles, CA 90021",,,
Urban Alchemy,,,Various locations,,,
Sidewalk Project,,,"768 Stanford Ave, Los Angeles, CA 90021",,,
My Friend's House Foundation,,,"1244 E 7th St, Los Angeles, CA 90021",,,
Inner City Law Center,,,"1309 E 7th St, Los Angeles, CA 90021",,,
School on Wheels Skid Row Learning Center,,,"600 E 7th St #109, Los Angeles, CA 90021",,,
Downtown Women's Center,,,"442 San Pedro St, Los Angeles, CA 90013",,,
Emmanuel Baptist Mission,,,"530 E 5th St, Los Angeles, CA 90013",,,says permanently closed
Doodles without Borders,,,,,,dont think there's a physical location
The BIN,,,"507 Towne Ave, Los Angeles, CA 90013",,,two locations
The Bin,,,"540 San Pedro St, Los Angeles, CA 90013",,,
Chrysalis,,,"522 S. Main St. Los Angeles, CA 90013",,,
Lifeway Church,,,"San Pedro St, Los Angeles, CA 90013",34.0366034,-118.2542568,
Urban Voices,,,,,,
Wellness Center,,,,,,many wellness centers
Skid Row Care Campus,,,,34.051132,-118.2581285,
LACADA,,,,34.0511329,-118.2580855,
Sophisticated Party with a Purpose,,,,,,
Los Angeles Poverty Department,,,,34.0511342,-118.250291,
Skid Row Coffee Shop,,,,34.0462138,-118.2506287,
Homeless Healthcare,,,,,,locations outside of Skid Row
Skid Row Devleopment Corp,,,,34.0416087,-118.2471948,
Skid Row Community Refresh Spot,,,,34.0417897,-118.2444052,
Skid Row Housing Trust,,,,34.0434854,-118.2568198,
St. Vincent's Cardinal Manning Center,,,,34.0460205,-118.2487427,
VOA,,,,,,Volunteers of America - locations outside of Skid Row
Recast ,,,,,,
Bathroom and showers on San Pedro,,,,,,
C3 (Clients only),,,,,,
Skid Row People's Market,,,"453 San Pedro St, Los Angeles, CA 90013",,,
