Title,Category,Latitude ,Longitude,Description,Comments
Police and State Violence + Surveillance,Orange,34.038604,-118.243994,Ford Apartments (aka Ford Hotel),
Police and State Violence + Surveillance,Orange,34.038973,-118.244448,7th & Stanford,ICE
Police and State Violence + Surveillance,Orange,34.040746,-118.242868,6th & Stanford,LAPD
Police and State Violence + Surveillance,Orange,34.039411,-118.245144,Continental Hotel?,check if it's a specific building 
Police and State Violence + Surveillance,Orange,34.041986,-118.244504,US Veterans Center,
Police and State Violence + Surveillance,Orange,34.040812,-118.248188,Flower District,ICE
Police and State Violence + Surveillance,Orange,34.04419373,-118.2474908,Central Division ,
Sanitation,Yellow,34.04208283,-118.2439671,Pastor Blue,
Sanitation,Yellow,34.042512,-118.245291,,
Sanitation,Yellow,34.041836,-118.244192,,
Sanitation,Yellow,34.039767,-118.245581,,
Sanitation,Yellow,34.038688,-118.244058,,
Art,Lime Green ,34.04028142,-118.242453,Park,
Art,Lime Green ,34.03992697,-118.2425835,333 Gallery,
Art,Lime Green ,34.0387567,-118.2443232,,
Art,Lime Green ,34.03941647,-118.2451433,TEF Record,
Art,Lime Green ,34.04000533,-118.2453625,,
Art,Lime Green ,34.04017728,-118.2457335,,
Art,Lime Green ,34.04031025,-118.2466422,,
Art,Lime Green ,34.04209664,-118.2481348,The Flor 401 Lofts,
Art,Lime Green ,34.04613718,-118.2479972,the Back Alley,
Art,Lime Green ,34.04402646,-118.2425859,,
Art,Lime Green ,34.04029361,-118.2424262,Gladys Park ,
Danger,Red,34.04096115,-118.2473431,,
Danger,Red,34.04102103,-118.2473527,,
Danger,Red,34.0397823,-118.2456211,,
Danger,Red,34.0419368,-118.2440717,,
Danger,Red,34.04348029,-118.2473409,,
Danger,Red,34.04208283,-118.2439671,Pastor Blue,
Art,Lime Green ,34.04840227,-118.2480256,LA Center for Digital Art,
Art,Lime Green ,34.04772739,-118.2498871,the Last Bookstore,
Art,Lime Green ,34.04700549,-118.2487565,El Nopal Press Fine Art Publ,
Art,Lime Green ,34.04582079,-118.2489566,Lifted Veil Gallery ,
Art,Lime Green ,34.04791989,-118.2497809,Fold Gallery,
Art,Lime Green ,34.04400244,-118.2531046,The Hive Gallery & Studios,
Art,Lime Green ,34.04399489,-118.2530671,Gloria Delson Contemporary Arts,
