Arrest Date,Time,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Disposition Description,Address,Cross Street,LAT,LON,Booking Date,Booking Time,Booking Location,Booking Location Code
2022 May 27 12:00:00 AM,0853,0138,51,F,H,15,Against Family/Child,M,273.6(A)PC,DISOBEY DOMESTIC RELATIONS COURT ORDER,MISDEMEANOR COMPLAINT FILED,ALAMEDA,4TH                          ST,34.0433,-118.2381,2022 May 27 12:00:00 AM,2055,METRO - JAIL DIVISION,4273
2025 Mar 27 12:00:00 AM,0940,0146,24,F,B,15,Against Family/Child,M,273.6(A)PC,DISOBEY DOMESTIC RELATIONS COURT ORDER,MISDEMEANOR COMPLAINT FILED,400    WALL                         ST,,34.0461,-118.2461,2025 Mar 27 12:00:00 AM,1151,METRO - JAIL DIVISION,4273
2024 Mar 14 12:00:00 AM,1408,0153,30,F,W,15,Against Family/Child,M,273.6(A)PC,DISOBEY DOMESTIC RELATIONS COURT ORDER,,500 S  OLIVE                        ST,,34.0467,-118.252,2024 Mar 14 12:00:00 AM,1801,METRO - JAIL DIVISION,4273
2021 Jul 26 12:00:00 AM,1130,0158,66,F,B,15,Against Family/Child,M,273.6(A)PC,DISOBEY DOMESTIC RELATIONS COURT ORDER,MISDEMEANOR COMPLAINT FILED,600 S  CENTRAL                      AV,,34.0381,-118.2401,2021 Jul 26 12:00:00 AM,1308,METRO - JAIL DIVISION,4273
2023 Nov 20 12:00:00 AM,1200,0158,53,F,H,15,Against Family/Child,M,273.6(A)PC,DISOBEY DOMESTIC RELATIONS COURT ORDER,MISDEMEANOR COMPLAINT FILED,6TH,ALAMEDA,34.0382,-118.2384,2023 Nov 20 12:00:00 AM,1520,METRO - JAIL DIVISION,4273
2024 Oct 22 12:00:00 AM,1310,0133,29,F,B,15,Against Family/Child,F,278PC,CHILD STEALING,FELONY COMPLAINT FILED,200 S  HILL                         ST,,34.0531,-118.2478,2024 Oct 22 12:00:00 AM,1745,77TH ST,4212
2021 Jun 23 12:00:00 AM,1515,0166,60,F,B,04,Aggravated Assault,F,203PC,MAYHEM,FELONY COMPLAINT FILED,SAN JUAN,6TH                          ST,34.0421,-118.2469,2021 Jun 24 12:00:00 AM,0258,METRO - JAIL DIVISION,4273
2021 Mar 15 12:00:00 AM,0730,0135,36,F,B,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,DISTRICT ATTORNEY REJECT,100 E  3RD                          ST,,34.0495,-118.2459,2021 Mar 15 12:00:00 AM,1024,METRO - JAIL DIVISION,4273
2025 Apr 02 12:00:00 AM,0300,0135,31,F,W,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,849(B)(1) PC/TECHNICAL ARREST,100 W  4TH                          ST,,34.0495,-118.2458,2025 Apr 02 12:00:00 AM,0555,METRO - JAIL DIVISION,4273
2022 Jul 10 12:00:00 AM,1850,0154,34,F,B,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,FELONY COMPLAINT FILED,6TH                          ST,SPRING                       ST,34.046,-118.251,2022 Jul 10 12:00:00 AM,2212,METRO - JAIL DIVISION,4273
2020 Feb 22 12:00:00 AM,1800,0156,55,F,O,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,OTHER (REQUIRES ADDITION ACTION),500 S  SAN PEDRO                    ST,,34.0437,-118.2455,2020 Feb 22 12:00:00 AM,2034,METRO - JAIL DIVISION,4273
2020 Aug 08 12:00:00 AM,0840,0156,28,F,B,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,FELONY COMPLAINT FILED,500 S  SAN JULIAN,,34.0429,-118.2462,2020 Aug 08 12:00:00 AM,1059,METRO - JAIL DIVISION,4273
2021 Jun 09 12:00:00 AM,1800,0157,28,F,B,04,Aggravated Assault,F,243(D)PC,BATTERY W/GBI,DISTRICT ATTORNEY REJECT,500    SAN PEDRO,,34.0438,-118.2441,2021 Jun 09 12:00:00 AM,2005,METRO - JAIL DIVISION,4273
